Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.076254043,1.866837475,-1.250226023,1.802522101,4.232209806,3.707315979,2.201001893,4.271976016,5.362332259,4.85779236,-4.547263823,7.117315315,
IBRD only,IBD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.83088344,6.401475776,5.466759485,5.255292419,4.874604386,4.439336311,4.594892075,5.246061607,4.944339695,3.975916124,-1.397378531,7.17255923,
IDA & IBRD total,IBT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.702183797,6.215353874,5.27063713,5.253605601,4.930139541,4.349297301,4.497242419,5.146312921,4.895339462,3.969306754,-1.31557313,6.939895411,
IDA total,IDA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.260695833,4.099909225,2.989398268,5.233513056,5.589621984,3.28732042,3.326085044,3.935290395,4.292938017,3.886262087,-0.288361581,4.032818562,
IDA blend,IDB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.151697026,4.702631045,4.55569453,5.568661108,5.82828888,3.816583431,1.67012006,2.522148402,3.715798123,2.739052437,-1.389276399,5.070845632,
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.223854181,6.169784208,6.030050653,5.557263689,5.006668426,4.8763223,5.033069183,5.069785901,5.17429154,5.01928768,-2.065004941,3.691240112,
IDA only,IDX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.354493156,3.582234793,1.626386935,4.933456264,5.375982096,2.81152327,4.845579788,5.192700846,4.793438443,4.899995055,0.664422703,3.142566061,
Isle of Man,IMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.399998424,1.999999382,7.303757302,4.141718551,5.155303088,-0.385798408,6.952311475,4.688811187,2.213403992,0.25486132,,,
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.497584702,5.241315001,5.456388753,6.386106401,7.410227605,7.996253786,8.256305502,6.795383419,6.453851345,3.73791852,-6.596080522,8.681228731,
Not classified,INX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,
Ireland,IRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.682971538,0.833830149,-0.005542011,1.125689646,8.649350608,24.37044535,2.006654115,9.005342424,8.527541391,5.440937334,6.184538039,13.58824711,
"Iran, Islamic Rep.",IRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.797938302,2.645717918,-3.747171399,-1.521979205,4.984775067,-1.424884939,8.815086643,2.758505246,-2.253863607,-2.658206662,3.330288459,4.719777732,
Iraq,IRQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.402564845,7.5464712,13.93643017,7.628571185,0.19701671,4.722864019,13.78737302,-1.819750351,2.633850991,5.513790575,-11.32419926,2.783335435,
Iceland,ISL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.832774915,1.845779156,1.063636607,4.55246032,1.687215018,4.436663719,6.303687107,4.194948829,4.888798244,2.415456092,-6.842296026,4.403044786,
