Id,Company,CPU,RAM,Bus,SSD,HDD,GPU_name,GPU_ram,Screen,resolution,Weight(kg),Price(dong)
0,Asus,Intel Core i5-10300H,8 GB,2933 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,22290000
1,Asus,AMD Ryzen 7-3750H,8 GB,2400 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.2,19090000
2,Acer,AMD Ryzen 7-3750H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.1,19790000
3,MSI,AMD Ryzen 5-4600H,8 GB,3200 MHz,512,0,AMD Radeon RX 5300M,3,15.6, 1920 x 1080,1.96,19490000
4,Acer,AMD Ryzen 5-3550H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.1,18790000
5,Asus,Intel Core i5-9300H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.2,19990000
6,HP,Intel Core i5-10300H,8 GB,3200 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,22290000
7,Dell,Intel Core i5-10300H,8 GB,2933 MHz,256,1000,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.34,21990000
8,ASUS,AMD Ryzen 5-3550H,8 GB,2400 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.14,18090000
9,Asus,Intel Core i5-9300H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.42,22590000
10,MSI,Intel Core i7-10750H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,24590000
11,MSI,Intel Core i5-10300H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650 ,4,15.6, 1920 x 1080,1.86,21190000
12,HP,AMD Ryzen 5-4600H,8 GB,3200 MHz,128,1000,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,1.98,19590000
13,HP,AMD Ryzen 5-3550H,8 GB,2400 MHz,128,1000,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,1.98,19590000
14,Lenovo,Intel Core i7-9750H,8 GB,2666 MHz,1000,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,26790000
15,Asus,AMD Ryzen 7-4800H,8 GB,3200 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,23690000
16,Acer,Intel Core i5-9300H,8 GB,2400 MHz,512,0,On board,0,15.6, 1920 x 1080,2.3,21790000
17,MTXT,Intel Core i5-9300H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650 ,4,15.6, 1920 x 1080,1.86,18690000
18,Asus,AMD Ryzen 5-4600H,8 GB,3200 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,22190000
19,ACER,AMD Ryzen 7-3750H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.1,19990000
20,HP,Intel Core i3-8145U,4 GB,2400 MHz,0,500,On board,0,14, 1920 x 1080,1.53,10690000
21,Acer,Intel Core i3-1005G1,4 GB,2400 MHz,256,0,On board,0,15.6, 1920 x 1080,1.7,9890000
